,Diagnosis,Symptoms,Weight
736,Motor neuron disease progressive nerve disorder,['General weakness'],1.0
737,Mouth trauma injury,"['Trauma', 'Mouth swelling', 'Jaw pain']",3.0
738,Neck trauma injury,"['Trauma', 'Ringing in ears (Tinnitus)', 'Neck ache or pain']",2.0
740,Trauma,"['Mouth pain', 'Vaginal pain', 'Lip swelling', 'Eye swelling']",2.2
741,Autism spectrum disorder ASD,"['Failure to thrive', 'Learning difficulties']",1.67
742,Erectile dysfunction ED,['Impotence'],1.0
745,Keloid overgrown scar,"['Skin itching', 'Skin sores']",1.2
746,Beriberi thiamine vitamin B1 deficiency,"['Tired', 'Stomach and abdominal pain', 'Shortness of breath', 'Muscle spasm', 'Chest pain']",0.0
748,Amebiasis ameba infection,['Fever in the returning traveler'],
749,Cholesteatoma middle ear mass,['Pain in the ear'],0.0
751,Giardiasis giardia infection,['Fever in the returning traveler'],1.25
752,Mediastinitis inner chest inflammation,['Swallowing problem (Dysphagia)'],1.0
753,Pseudogout calcium deposit arthritis,['Swelling of both legs'],0.55
754,Syphilis treponema pallidum,"['Double vision (Diplopia)', 'Swollen lymph nodes (Large lymph nodes)']",1.17
755,Thyroglossal duct cyst neck cyst,['Neck swelling'],1.0
756,Tongue cancer tumor,"['Swallowing problem (Dysphagia)', 'Skin sores']",0.0
758,Cauliflower ear wrestlers ear,"['Ear swelling', 'Pain in the ear', 'Ear pressure']",2.0
765,Mumps viral infection involving salivary glands,"['Bleeding tendency', 'Jaw pain']",2.0
766,Peritonsillar abscess collection of pus around tonsils,"['Swallowing problem (Dysphagia)', 'Sore throat', 'Throat pain']",2.17
767,Pulpitis dental root inflammation,['Painful gums'],2.0
768,Ramsay Hunt syndrome viral infection causing facial weakness,"['Ear pressure', 'Pain in the ear', 'Facial droop (weakness)', 'Headache and weakness']",0.67
769,Thyroiditis thyroid inflammation,['Neck ache or pain'],0.0
771,Ringworm of the body tinea corporis,"['Itchy rash (Pruritic rash)', 'Rash', 'Skin sores']",1.6
774,Male infertility,['Impotence'],0.0
775,Thyroid cyst,"['Neck ache or pain', 'Neck swelling', 'Shortness of breath', 'Anxiety (Nervousness)']",0.0
777,Charcot-Marie-Tooth disease,['Unsteady gait (Trouble walking)'],0.0
778,Appendicitis,"['Lower abdominal pain', 'Inconsolable baby', 'Stomach and abdominal pain', 'Upper abdominal pain', 'Back ache or pain', 'Chills', 'Flank pain', 'Kidney pain (Flank pain)', 'Vomiting']",1.36
779,Aseptic necrosis of bone bone death and destruction,['Leg ache or pain'],0.33
780,Basilar skull fracture broken skull,"['Nasal congestion', 'Confusion and headache']",1.4
782,Hereditary hemorrhagic telangiectasia Osler Weber Rendu syndrome,['Nasal bleeding'],0.0
783,Hypokalemic periodic paralysis inherited muscle weakness and low potassium,['General weakness'],1.0
784,Keratitis inflammation of cornea,['Eye pain (Irritation)'],
785,Phobias irrational fear,"['Anxiety (Nervousness)', 'Alcohol abuse', 'Change in behavior', 'Depressed']",
787,Pemphigus rare skin disorder,['Blister (Pocket of fluid)'],1.0
788,Polyarteritis Nodosa PAN,"['Weight loss, unexplained', 'Fever of unknown origin', 'Chest pain', 'Shortness of breath', 'Rash', 'Stomach and abdominal pain']",0.0
789,Wrist sprain,['Bleeding tendency'],0.67
790,Alcohol withdrawal syndrome (mild),"['Alcohol abuse', 'Change in behavior', 'Delusions or hallucinations', 'Seizure', 'Tremors', 'Insomnia (Trouble sleeping)', 'Confusion']",1.64
791,"Contusion bruise, ecchymosis","['Arm ache or pain', 'Pain or soreness of breast', 'Facial pain', 'Leg ache or pain', 'Swelling of both legs', 'Shoulder ache or pain', 'Arm swelling', 'Ear swelling', 'Lower abdominal pain', 'Back ache or pain', 'Chest pressure', 'Ear pressure', 'Pain in the ear', 'Headache', 'Neck ache or pain', 'Chest pain', 'Low back ache or pain']",1.5
792,Henoch Schönlein purpura blood vessel inflammation,"['Blood in vomit', 'Rash']",0.75
793,Kawasaki disease pediatric blood vessel disease,"['Swollen lymph nodes (Large lymph nodes)', 'Lip swelling']",2.0
794,Leukemia blood cell cancer,"['Bleeding tendency', 'Weight loss, unexplained', 'Bleeding gums', 'Eye floaters', 'Nasal bleeding']",0.5
795,Nasal polyps growths,"['Sinus pain and pressure', 'Nasal bleeding', 'Nasal congestion', 'Snoring', 'Pain in the ear']",1.29
796,Sialolithiasis salivary gland stone,['Facial pain'],
797,"Thoracic outlet syndrome nerve, blood vessel compression","['Numbness', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Back ache or pain']",0.0
798,Muscular dystrophy inherited muscle disease,['General weakness'],1.0
801,Celiac disease celiac sprue,"['Abdominal swelling (Stomach swelling)', 'Lower abdominal pain', 'Upper abdominal pain', 'Steatorrhea (Excess fat in stool)', 'Stomach and abdominal pain']",1.25
802,Cerebellar syndrome loss of coordination,['Change in behavior'],0.0
804,Herpes stomatitis viral mouth infection,"['Mouth pain', 'Mouth ulcers', 'Mouth swelling', 'Lip swelling', 'Swollen gums', 'Sore throat', 'Throat pain']",1.25
805,Hyphema traumatic blood in eye,['Eye pain (Irritation)'],2.0
806,"Leishmaniasis parasitic infection, kala azar",['Fever in the returning traveler'],1.0
809,"Uveitis iritis, eye inflammation","['Eye pain (Irritation)', 'Visual problems', 'Eye redness', 'Blurry vision']",1.5
810,Impetigo bacterial skin infection,"['Rash', 'Painful rash', 'Blister (Pocket of fluid)', 'Pustule (Collection of pus)', 'Lip swelling', 'Skin sores']",1.38
811,Common warts,"['Rash', 'Skin sores']",
813,"Pneumocystis pneumonia PCP, fungal lung infection",['Chest pain'],1.0
814,Huntington disease chorea,"['Speech problem', 'Unsteady gait (Trouble walking)', 'Depressed', 'Anxiety (Nervousness)']",0.0
815,Cerebellar Ataxia,"['Headache', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Dizziness', 'Loss of balance']",0.0
816,Lyme disease bacterial infection from ticks,"['Fever in the returning traveler', 'Numbness', 'Tired', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Facial droop (weakness)', 'Fever', 'Headache', 'Rash', 'Headache and weakness']",1.45
817,Malaria mosquito transmitted illness,"['Chills', 'Fever', 'Fever in the returning traveler', 'Jaundice (Yellowing skin)']",1.4
818,Osteomyelitis bone infection,"['Back ache or pain', 'Leg ache or pain']",1.0
819,"Thrombotic thrombocytopenia purpura TTP, rare blood disorder Thrombotic thrombocytopenic purpura","['Seizure', 'Vaginal bleeding', 'Confusion']",1.0
821,Hepatitis A,"['Tired', 'Fever', 'Stomach and abdominal pain', 'Jaundice (Yellowing skin)']",0.6
822,Takayasu's arteritis Giant cell arteritis of the young,"['Arm ache or pain', 'Chest pain', 'Vomiting', 'Visual problems', 'Stomach and abdominal pain', 'Dizziness', 'Numbness']",1.0
824,Aphthous ulcers mouth stomatitis,"['Inconsolable baby', 'Sore throat', 'Throat pain']",0.8
825,Botulism bacterial toxin causing muscle weakness,"['Speech problem', 'Swallowing problem (Dysphagia)', 'General weakness']",1.0
826,Ludwigs angina severe infection in the floor of the mouth and neck,"['Jaw pain', 'Mouth swelling', 'Sore throat', 'Throat pain']",1.0
827,Ear drum rupture tympanic membrane rupture,"['Ear pressure', 'Pain in the ear']",1.5
828,Scabies skin disease caused by mites,"['Skin itching', 'Itchy rash (Pruritic rash)', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Armpit pain', 'Rash']",1.65
829,Food poisoning,"['Dizziness', 'Vomiting', 'Stomach and abdominal pain']",0.67
830,Brucellosis bacterial infection spread from animals,['Fever in the returning traveler'],1.0
831,Campylobacter infection intestinal bacterial infection,['Fever in the returning traveler'],2.5
832,Myocarditis heart muscle inflammation,"['Low heart rate', 'Chest pain']",1.0
833,Myopathy muscle disease,['Muscle pain'],1.0
834,Rhinosporidiosis fungal nasal infection,['Nasal bleeding'],0.0
835,Coronary artery anomaly heart artery malformation,"['Heart pulsations and palpitations', 'Inconsolable baby']",1.5
836,Clavicle fracture broken collar bone,"['Shoulder ache or pain', 'Arm ache or pain']",1.0
838,Cerebral palsy movement disorder,"['Incontinence (leaking urine)', 'Unsteady gait (Trouble walking)', 'Speech problem', 'Loss of balance']",1.2
839,Heat cramps,['Muscle spasm'],2.0
840,Heat exhaustion,"['Dizziness', 'Fainting', 'Shortness of breath']",
841,"Porphyria rare disorder of skin, nervous system","['Blister (Pocket of fluid)', 'Change in behavior', 'Headache']",0.0
842,Behcets disease small blood vessel inflammation disorder,"['Mouth pain', 'Swelling of both legs', 'Eye pain (Irritation)', 'Mouth ulcers', 'Pustule (Collection of pus)', 'Painful gums', 'Swollen gums']",0.29
843,Chagas disease trypanosomiasis,"['Fever in the returning traveler', 'Swollen lymph nodes (Large lymph nodes)', 'Fever in the returning traveler']",1.0
844,Lymphangitis lymph tissue inflammation,"['Chills', 'Arm swelling', 'Armpit pain', 'Pain or soreness of breast', 'Pain in the ear', 'Rash', 'Skin sores']",0.2
845,Malabsorption syndrome abnormal intestinal digestion,"['General weakness', 'Weight loss, unexplained', 'Failure to thrive', 'Abdominal swelling (Stomach swelling)', 'Steatorrhea (Excess fat in stool)', 'Blood in vomit']",1.22
846,Orbital cellulitis soft tissue eye infection,"['Double vision (Diplopia)', 'Eye pain (Irritation)', 'Visual problems', 'Eye swelling', 'Blurry vision']",2.0
847,Polycystic kidney disease inherited kidney disorder,"['Kidney pain (Flank pain)', 'Upper abdominal pain', 'Flank pain']",0.0
848,Attention deficit hyperactivity disorder ADHD,"['Learning difficulties', 'Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Insomnia (Trouble sleeping)', 'Substance abuse (Drug abuse)']",
850,Strabismus crossed eyes,"['Visual problems', 'Double vision (Diplopia)']",1.0
851,Developmental delay,['Learning difficulties'],0.0
852,Acute angle closure glaucoma increased inner eye pressure,"['Eye pain (Irritation)', 'Visual problems', 'Blurry vision']",1.67
856,Gallbladder cancer,"['Weight loss, unexplained', 'Upper abdominal pain', 'Jaundice (Yellowing skin)', 'Tired', 'Weight loss, unexplained', 'Vomiting']",0.0
857,Gallbladder and bile duct cancer Gallbladder cancer bile duct cancer,"['Weight loss, unexplained', 'Fever of unknown origin', 'Tired', 'Stomach and abdominal pain', 'Jaundice (Yellowing skin)', 'Skin itching']",0.0
858,Conversion disorder,"['Seizure', 'Unsteady gait (Trouble walking)', 'Speech problem', 'Visual problems']",0.0
859,Body dysmorphic disorder body appearance obsession,['Anxiety (Nervousness)'],0.0
860,De Quervain's tenosynovitis hand tendon inflammation,['Arm ache or pain'],0.2
861,Melanoma skin cancer,"['Rash', 'Skin sores']",1.25
866,Pemphigoid,"['Blister (Pocket of fluid)', 'Rash']",0.0
868,Atypical pneumonia lung infection,"['Cough', 'Shortness of breath', 'Chills', 'Fever']",2.33
869,Blepharitis eyelid swelling,"['Eye pain (Irritation)', 'Eye redness', 'Eye swelling']",
870,Brain tumor cancer of the brain,"['Seizure', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Visual problems', 'Vertigo (Room spinning)', 'Loss of balance', 'Face numbness (paresthesias)', 'Dizziness', 'Headache', 'Confusion and headache']",2.0
871,Meningitis spinal fluid infection,"['Chills', 'Change in behavior', 'Fever', 'Headache', 'Lethargy (Sluggishness)', 'Seizure', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Inconsolable baby', 'Dizziness', 'Neck ache or pain', 'Tremors', 'Confusion', 'Confusion and headache']",2.0
873,Meningioma brain tumor,"['Headache', 'Change in behavior', 'Unsteady gait (Trouble walking)', 'Confusion', 'Headache and weakness', 'Confusion and headache']",0.44
874,Astrocytoma brain tumor,"['Vertigo (Room spinning)', 'Confusion', 'Headache and weakness', 'Confusion and headache']",1.86
877,Adjustment disorder (poor adjustment to life stressor),"['Learning difficulties', 'Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Dizziness', 'Delusions or hallucinations', 'Insomnia (Trouble sleeping)', 'Substance abuse (Drug abuse)']",0.5
878,Intracranial hemorrhage bleeding in brain,"['Change in behavior', 'Dizziness', 'Headache', 'Confusion']",1.86
880,Toxic megacolon rapid dilation of the colon,['Abdominal swelling (Stomach swelling)'],1.0
881,Corneal ulcer,"['Visual problems', 'Eye pain (Irritation)', 'Eye redness']",0.67
883,"Obsessive compulsive disorder OCD, anxiety disorder","['Anxiety (Nervousness)', 'Change in behavior', 'Depressed']",0.0
884,Teeth grinding bruxism,"['Mouth pain', 'Jaw pain']",2.0
885,Dystonia,"['Muscle spasm', 'Tremors', 'Speech problem']",0.0
886,Post concussive syndrome symptoms after a concussion,"['Learning difficulties', 'Dizziness', 'Headache', 'Vomiting']",0.83
887,Viral infections,"['Fever of unknown origin', 'Cough', 'Dizziness', 'Pain in the ear', 'Fever', 'Headache', 'Rash', 'Shortness of breath', 'Sore throat', 'Vomiting', 'Throat pain', 'Nasal congestion']",0.19
888,"Amyotrophic lateral sclerosis ALS, Lou Gehrig's disease",['Tremors'],1.0
890,"Pleuritis inflammation of the lung's lining, pleurisy","['Chest pain', 'Back ache or pain', 'Flank pain', 'Kidney pain (Flank pain)']",
892,Ankle fracture broken ankle,['Leg ache or pain'],1.33
894,Mycoplasma infection bacteria,"['Headache', 'Cough', 'Muscle pain', 'Nasal congestion', 'Pain in the ear', 'Sore throat']",0.17
895,Aphakia,['Visual problems'],0.0
896,Contact urticaria hives,"['Hives', 'Itchy rash (Pruritic rash)']",
898,Laryngitis voice box inflammation,"['Cough', 'Speech problem', 'Chills', 'Sore throat', 'Throat pain']",1.0
900,Urticaria hives,"['Skin itching', 'Rash', 'Skin swelling', 'Skin sores']",1.67
901,Athlete's foot tinea pedis,"['Foot itching', 'Rash', 'Skin sores']",
903,Esophageal cancer tumor,"['Swallowing problem (Dysphagia)', 'Vomiting coffee ground material', 'Blood in vomit']",0.0
904,"Wolff Parkinson White syndrome WPW, additional electrical pathway in the heart","['Fainting', 'Dizziness', 'Chest pain']",1.33
906,Hypoparathyroidism,"['Shortness of breath', 'Anxiety (Nervousness)', 'Low heart rate']",0.0
908,Ankylosing spondylitis (severe spine arthritis),"['Back ache or pain', 'Neck ache or pain', 'Low back ache or pain']",0.0
909,Spinal cord compression cauda equina syndrome,"['Incontinence (leaking urine)', 'Low back ache or pain']",1.0
910,Cervical cancer tumor,"['Vaginal bleeding', 'Lower abdominal pain', 'Rash']",0.4
912,Gastroenteritis intestinal infection,"['Upper abdominal pain', 'Vomiting', 'Stomach and abdominal pain', 'Lower abdominal pain', 'Blood in vomit', 'Chills', 'Dizziness', 'Fever']",0.77
914,Candida albicans yeast infection,"['Rash', 'Swallowing problem (Dysphagia)', 'Skin itching', 'Sore throat', 'Throat pain', 'Skin sores']",0.67
915,Dental abscess tooth infection,"['Facial pain', 'Jaw pain', 'Mouth swelling', 'Painful gums', 'Swollen gums', 'Pain in the ear', 'Headache', 'Sore throat', 'Throat pain']",1.27
916,Malnutrition,"['Lethargy (Sluggishness)', 'Failure to thrive', 'Amenorrhea (No menstruation)', 'Swollen gums', 'Infertility (Female)', 'Tired']",1.09
918,Rhinitis nasal inflammation,"['Snoring', 'Cough', 'Ear pressure', 'Sore throat', 'Throat pain', 'Nasal congestion']",
919,Scalded skin syndrome blistering skin infection,"['Hand redness', 'Foot redness', 'Arm redness']",2.0
920,Baker's cyst fluid sac behind knee,"['Swelling of both legs', 'Leg ache or pain']",
921,Cushing disease excessive pituitary gland hormones,"['Obesity', 'Impotence', 'Increased facial hair']",0.38
922,Rectal ulcer,['Skin sores'],0.0
924,Sarcoidosis inflammatory disease,"['Weight loss, unexplained', 'Amenorrhea (No menstruation)', 'Facial droop (weakness)', 'Chest pressure', 'Rash', 'Shortness of breath', 'Skin sores']",0.25
925,Guillain Barre syndrome ascending muscle weakness,"['Numbness', 'Speech problem', 'General weakness', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)', 'Facial droop (weakness)']",1.18
926,Raynaud's disease blood vessel constriction,"['Numbness', 'Foot numbness (paresthesias)', 'Hand numbness (paresthesias)']",2.0
927,Miller Fisher Syndrome rare nerve disease,"['Double vision (Diplopia)', 'Facial droop (weakness)']",0.0
929,Burns,"['Painful rash', 'Blister (Pocket of fluid)', 'Hand redness', 'Foot redness', 'Arm redness', 'Arm ache or pain', 'Stomach and abdominal pain']",2.45
930,Fat embolism blood clot from fat,['Shortness of breath'],0.0
931,"Lupus systemic lupus erythematosus, SLE","['Rash', 'Seizure', 'Tired', 'Skin itching', 'Leg ache or pain', 'Skin sores', 'Headache and weakness']",0.0
933,Peripheral neuropathy nerve damage,"['Arm ache or pain', 'Leg ache or pain', 'Numbness', 'General weakness', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Back ache or pain', 'Neck ache or pain', 'Tremors', 'Low back ache or pain']",0.67
934,Pilonidal cyst fluid filled sac on tailbone,"['Low back ache or pain', 'Back ache or pain', 'Skin sores']",0.33
935,Diabetic neuropathy nerve damage,"['Foot numbness (paresthesias)', 'Leg ache or pain', 'Leg numbness (paresthesias)', 'Urinary retention (Inability to urinate)']",0.0
938,Bacterial overgrowth of small intestine Bacterial Overgrowth Syndrome,"['Abdominal swelling (Stomach swelling)', 'Steatorrhea (Excess fat in stool)', 'Vomiting']",0.67
939,Hyperventilation rapid breathing,"['Numbness', 'Hand numbness (paresthesias)', 'Chest pain', 'Anxiety (Nervousness)', 'Shortness of breath']",
940,Ankle sprain,['Leg ache or pain'],1.33
941,Anal fistula,['Fever'],0.0
942,Cerumen impaction ear wax buildup,"['Ear pressure', 'Pain in the ear', 'Ringing in ears (Tinnitus)']",2.0
943,Menopause end of menstruation and fertility,"['Vaginal pain', 'Vaginal bleeding', 'Amenorrhea (No menstruation)', 'Hot flashes', 'Change in behavior', 'Depressed']",0.7
944,Renal infarct kidney damage from an area of blocked blood flow,"['Kidney pain (Flank pain)', 'Blood in urine (Hematuria)', 'Flank pain']",1.0
945,"Systemic sclerosis scleroderma, progressive soft tissue hardening",['Swallowing problem (Dysphagia)'],0.0
947,Boil pus-filled lump,"['Skin swelling', 'Hand redness', 'Arm redness']",2.0
948,Scleroderma progressive hardening of soft tissue,['Rash'],0.0
949,Tennis elbow lateral epicondylitis,['Arm ache or pain'],0.5
950,Hemolytic anemia red blood cell destruction disorder,"['Jaundice (Yellowing skin)', 'Change in behavior']",1.67
952,Hypothermia extreme cold exposure,"['Change in behavior', 'Hypothermia (Low temperature)', 'Tremors', 'Confusion']",1.67
953,Whipple's disease rare bacterial infection of the small intestine,['Steatorrhea (Excess fat in stool)'],1.0
955,Thyroid cancer neck gland cancer,"['Neck ache or pain', 'Neck swelling', 'Hot flashes', 'Dizziness']",0.25
957,Thrombophlebitis superficial,"['Arm ache or pain', 'Leg ache or pain', 'Arm redness']",0.67
958,Anal fissure (tear),['Skin sores'],1.0
959,Lung abscess collection of pus,"['Hemoptysis (Coughing blood)', 'Shortness of breath']",1.0
961,Delusional disorder,['Delusions or hallucinations'],1.0
962,Esophageal achalasia swallowing disease,['Chest pain'],0.0
963,"Ear infection, outer otitis externa","['Ear pressure', 'Pain in the ear', 'Vertigo (Room spinning)', 'Ear swelling', 'Headache', 'Skin sores']",1.38
964,Stomach cancer gastric cancer,"['Weight loss, unexplained', 'Vomiting coffee ground material', 'Blood in vomit', 'Stomach and abdominal pain', 'Upper abdominal pain']",0.0
966,Breast abscess collection of pus in the breast,"['Pain or soreness of breast', 'Nipple discharge']",0.75
967,Mastitis breast infection inflammation,"['Pain or soreness of breast', 'Fever', 'Rash', 'Skin sores', 'Chest pain', 'Nipple discharge']",
968,Urethritis infection of urethra,['Frequent urination (Frequency)'],1.0
970,Aplastic anemia bone marrow failure,"['Bleeding tendency', 'Bleeding gums', 'Nasal bleeding']",1.0
971,Herpes simplex infection viral infection,"['Skin itching', 'Blister (Pocket of fluid)', 'Rash', 'Skin sores']",0.67
972,Cerebral aneurysm brain artery dilation,"['Headache', 'Seizure', 'Visual problems', 'Confusion', 'Headache and weakness', 'Confusion and headache']",1.58
973,Concussion,"['Seizure', 'Vertigo (Room spinning)', 'Loss of balance', 'Dizziness', 'Fainting', 'Headache', 'Tremors', 'Confusion and headache']",1.29
974,Personality disorder unhealthy patterns of thinking and behavior,"['Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Insomnia (Trouble sleeping)']",0.17
975,Sleep apnea chronic sleep disruption,"['Snoring', 'Shortness of breath', 'Tired']",0.8
976,Small bowel cancer small intestine,"['Weight loss, unexplained']",1.0
977,Bipolar disorder manic depressive disorder,"['Anxiety (Nervousness)', 'Depressed', 'Delusions or hallucinations', 'Insomnia (Trouble sleeping)', 'Learning difficulties', 'Change in behavior', 'Headache', 'Substance abuse (Drug abuse)']",0.7
981,"Myasthenia gravis autoimmune disease of the nerves, muscles","['Speech problem', 'Swallowing problem (Dysphagia)', 'General weakness']",1.2
982,Drug withdrawal syndrome,"['Tired', 'Vomiting', 'Stomach and abdominal pain', 'Seizure', 'Confusion']",1.14
983,Schizoaffective disorder features of schizophrenia and mood disorder,"['Learning difficulties', 'Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Delusions or hallucinations', 'Insomnia (Trouble sleeping)', 'Substance abuse (Drug abuse)']",0.2
986,Heat rash,"['Itchy rash (Pruritic rash)', 'Hand redness', 'Foot redness', 'Arm redness', 'Rash', 'Skin sores']",
987,Sebaceous cyst sac under the skin,"['Arm ache or pain', 'Pain in the ear', 'Skin itching', 'Rash', 'Skin sores']",0.25
988,Esophageal foreign body,"['Swallowing problem (Dysphagia)', 'Vomiting', 'Chest pain']",0.75
989,Lymphedema lymphatic obstruction,"['Leg ache or pain', 'Skin sores']",0.0
990,Cancer tumor,"['Fever of unknown origin', 'Swelling of both legs', 'Lethargy (Sluggishness)', 'Tired', 'Weight loss, unexplained', 'Failure to thrive', 'Jaw pain', 'Abdominal swelling (Stomach swelling)', 'Armpit pain', 'Leg numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Hand numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)', 'Facial droop (weakness)']",0.36
991,Ewing's sarcoma cancer,"['Weight loss, unexplained', 'Arm ache or pain', 'Leg ache or pain', 'Fever of unknown origin', 'Tired']",0.0
993,"Diabetic ketoacidosis DKA, a complication of poorly controlled diabetes","['Change in behavior', 'Vomiting', 'Fainting', 'Stomach and abdominal pain', 'Confusion']",2.0
995,Altered mental status confusion,['Change in behavior'],2.0
996,Dissecting aortic aneurysm tearing and dilation of the aorta,"['Chest pressure', 'Upper abdominal pain', 'Chest pain']",1.25
997,Vasculitis inflammation of the arteries,"['Leg ache or pain', 'Swelling of both legs', 'Arm swelling', 'Rash']",0.0
998,Pancreatic cancer tumor,"['Jaundice (Yellowing skin)', 'Hot flashes', 'Increased facial hair', 'Abdominal swelling (Stomach swelling)', 'Stomach and abdominal pain']",0.17
999,Blood loss,"['Dizziness', 'Fainting', 'Change in behavior']",2.25
1000,Retroperitoneal hemorrhage flank bleeding,"['Flank pain', 'Kidney pain (Flank pain)']",1.5
1001,Cervical spine stenosis narrowing of spinal canal,"['Neck ache or pain', 'Numbness', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Arm ache or pain']",0.62
1002,Parotitis salivary gland inflammation,"['Facial pain', 'Jaw pain', 'Ear pressure']",
1006,Bacterial infection,['Fever of unknown origin'],1.5
1007,Leptospirosis bacterial infection,['Fever in the returning traveler'],1.0
1010,"Emphysema COPD, lung disease","['Shortness of breath', 'Chest pain']",0.33
1011,Alcoholism,"['Alcohol abuse', 'Jaundice (Yellowing skin)', 'Impotence', 'Arm numbness (paresthesias)', 'Hand numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Lower abdominal pain', 'Anxiety (Nervousness)', 'Blood in vomit', 'Chest pressure', 'Change in behavior', 'Depressed', 'Dizziness', 'Fainting', 'Delusions or hallucinations', 'Headache', 'Insomnia (Trouble sleeping)', 'Substance abuse (Drug abuse)', 'Vomiting', 'Tremors', 'Stomach and abdominal pain']",0.38
1012,Anorectal abscess (perirectal) abscess,"['Skin sores', 'Low back ache or pain']",
1014,Allergic rhinitis (allergic reaction in the nose),"['Nasal bleeding', 'Nasal congestion', 'Cough', 'Pain in the ear', 'Headache', 'Sore throat', 'Throat pain']",0.89
1015,Multiple sclerosis MS,"['Dizziness', 'Incontinence (leaking urine)', 'Numbness', 'Seizure', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Visual problems', 'General weakness', 'Tired', 'Tremors', 'Urinary retention (Inability to urinate)', 'Loss of balance', 'Muscle spasm', 'Hand numbness (paresthesias)', 'Impotence', 'Visual flashing lights', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)', 'Back ache or pain', 'Change in behavior', 'Leg ache or pain']",0.52
1016,"Ear infection, middle ear otitis media","['Chills', 'Dizziness', 'Ear pressure', 'Pain in the ear', 'Fever', 'Headache', 'Vertigo (Room spinning)', 'Inconsolable baby', 'Loss of balance', 'Facial droop (weakness)', 'Sore throat', 'Throat pain']",1.69
1017,Subarachnoid hemorrhage brain bleeding,"['Headache and weakness', 'Confusion and headache']",2.29
1019,Aseptic joint effusion fluid in a joint Effusion of joint,['Leg ache or pain'],0.6
1020,Streptococcus infection strep throat bacteria,"['Sore throat', 'Throat pain']",2.0
1021,Benign positional vertigo sensation of spinning,"['Vertigo (Room spinning)', 'Dizziness']",1.5
1022,Meniere's disease dizziness and vertigo,"['Vertigo (Room spinning)', 'Ringing in ears (Tinnitus)', 'Loss of balance', 'Dizziness', 'Ear pressure']",0.6
1024,Enlarged lymph nodes lymphadenopathy,"['Arm ache or pain', 'Pain in the ear', 'Neck ache or pain', 'Sore throat', 'Throat pain', 'Skin sores']",0.29
1025,Tendonitis tendon inflammation,"['Arm ache or pain', 'Leg ache or pain']",1.08
1026,Tenosynovitis tendon sheath inflammation,"['Hand redness', 'Foot redness', 'Arm ache or pain']",0.22
1027,Synovitis inflammation of joint lining,"['Arm ache or pain', 'Leg ache or pain', 'Low back ache or pain']",0.29
1028,"Disseminated intravascular coagulation DIC, abnormality of blood clotting",['Bleeding tendency'],1.0
1029,Goiter enlarged thyroid,"['Neck swelling', 'Swallowing problem (Dysphagia)', 'Neck ache or pain']",0.67
1030,Intestinal ischemia decreased intestinal blood flow,['Abdominal swelling (Stomach swelling)'],1.33
1031,Trigeminal neuralgia facial nerve pain,"['Facial pain', 'Jaw pain', 'Face numbness (paresthesias)', 'Headache']",0.75
1032,Reiter syndrome type of joint inflammation,"['Mouth pain', 'Mouth ulcers']",0.0
1033,Ringworm of the scalp tinea capitis,"['Itchy rash (Pruritic rash)', 'Rash']",0.67
1034,Hepatic encephalopathy confusion from liver failure,"['Change in behavior', 'Delusions or hallucinations', 'Vomiting', 'Confusion']",1.0
1036,Foreign body in the eye,['Eye pain (Irritation)'],0.0
1037,Panic disorder,"['Anxiety (Nervousness)', 'Dizziness', 'Hot flashes', 'Change in behavior', 'Depressed', 'Shortness of breath', 'Tremors', 'Chest pain']",
1038,Prostatitis prostate inflammation,"['Frequent urination (Frequency)', 'Urinary retention (Inability to urinate)']",0.67
1039,Jaundice yellow skin color,['Rash'],2.0
1040,Diverticulosis weakening of the large intestine wall,"['Lower abdominal pain', 'Stomach and abdominal pain', 'Upper abdominal pain']",0.5
